n:142 mse_avg:0.86 mse_y:1.04 mse_u:0.66 mse_v:0.38 psnr_avg:48.76 psnr_y:47.97 psnr_u:49.93 psnr_v:52.37
n:143 mse_avg:0.87 mse_y:1.04 mse_u:0.67 mse_v:0.38 psnr_avg:48.73 psnr_y:47.94 psnr_u:49.89 psnr_v:52.37
n:144 mse_avg:0.87 mse_y:1.05 mse_u:0.66 mse_v:0.38 psnr_avg:48.72 psnr_y:47.92 psnr_u:49.91 psnr_v:52.38
n:145 mse_avg:0.87 mse_y:1.04 mse_u:0.65 mse_v:0.38 psnr_avg:48.76 psnr_y:47.95 psnr_u:50.00 psnr_v:52.39
n:146 mse_avg:1.06 mse_y:1.28 mse_u:0.76 mse_v:0.44 psnr_avg:47.89 psnr_y:47.04 psnr_u:49.32 psnr_v:51.66
n:147 mse_avg:0.89 mse_y:1.06 mse_u:0.66 mse_v:0.40 psnr_avg:48.66 psnr_y:47.86 psnr_u:49.95 psnr_v:52.14
n:148 mse_avg:0.81 mse_y:0.97 mse_u:0.61 mse_v:0.38 psnr_avg:49.03 psnr_y:48.26 psnr_u:50.24 psnr_v:52.33
n:149 mse_avg:0.78 mse_y:0.93 mse_u:0.60 mse_v:0.37 psnr_avg:49.20 psnr_y:48.45 psnr_u:50.35 psnr_v:52.47
n:150 mse_avg:0.79 mse_y:0.94 mse_u:0.61 mse_v:0.36 psnr_avg:49.16 psnr_y:48.40 psnr_u:50.28 psnr_v:52.52
n:151 mse_avg:0.75 mse_y:0.89 mse_u:0.58 mse_v:0.35 psnr_avg:49.38 psnr_y:48.62 psnr_u:50.53 psnr_v:52.70
n:152 mse_avg:0.73 mse_y:0.87 mse_u:0.57 mse_v:0.34 psnr_avg:49.48 psnr_y:48.73 psnr_u:50.56 psnr_v:52.86
n:153 mse_avg:0.71 mse_y:0.85 mse_u:0.56 mse_v:0.32 psnr_avg:49.59 psnr_y:48.84 psnr_u:50.62 psnr_v:53.03
n:154 mse_avg:0.72 mse_y:0.85 mse_u:0.57 mse_v:0.34 psnr_avg:49.56 psnr_y:48.83 psnr_u:50.55 psnr_v:52.80
n:155 mse_avg:0.72 mse_y:0.85 mse_u:0.59 mse_v:0.35 psnr_avg:49.54 psnr_y:48.84 psnr_u:50.39 psnr_v:52.73
n:156 mse_avg:0.74 mse_y:0.87 mse_u:0.61 mse_v:0.36 psnr_avg:49.45 psnr_y:48.76 psnr_u:50.28 psnr_v:52.60
n:157 mse_avg:0.75 mse_y:0.88 mse_u:0.64 mse_v:0.37 psnr_avg:49.35 psnr_y:48.68 psnr_u:50.09 psnr_v:52.49
n:158 mse_avg:0.77 mse_y:0.90 mse_u:0.65 mse_v:0.37 psnr_avg:49.27 psnr_y:48.59 psnr_u:50.00 psnr_v:52.44
n:159 mse_avg:0.78 mse_y:0.91 mse_u:0.66 mse_v:0.37 psnr_avg:49.20 psnr_y:48.52 psnr_u:49.95 psnr_v:52.40
n:160 mse_avg:0.83 mse_y:0.98 mse_u:0.68 mse_v:0.38 psnr_avg:48.95 psnr_y:48.23 psnr_u:49.80 psnr_v:52.32
n:161 mse_avg:0.83 mse_y:0.98 mse_u:0.68 mse_v:0.38 psnr_avg:48.96 psnr_y:48.24 psnr_u:49.82 psnr_v:52.36
n:162 mse_avg:0.86 mse_y:1.02 mse_u:0.69 mse_v:0.38 psnr_avg:48.79 psnr_y:48.05 psnr_u:49.73 psnr_v:52.28
n:163 mse_avg:0.88 mse_y:1.04 mse_u:0.70 mse_v:0.39 psnr_avg:48.70 psnr_y:47.95 psnr_u:49.69 psnr_v:52.25
n:164 mse_avg:0.86 mse_y:1.02 mse_u:0.69 mse_v:0.38 psnr_avg:48.78 psnr_y:48.03 psnr_u:49.76 psnr_v:52.30
n:165 mse_avg:0.88 mse_y:1.06 mse_u:0.69 mse_v:0.39 psnr_avg:48.67 psnr_y:47.90 psnr_u:49.73 psnr_v:52.27
n:166 mse_avg:0.89 mse_y:1.07 mse_u:0.70 mse_v:0.39 psnr_avg:48.61 psnr_y:47.83 psnr_u:49.70 psnr_v:52.25
n:167 mse_avg:0.90 mse_y:1.08 mse_u:0.69 mse_v:0.38 psnr_avg:48.60 psnr_y:47.81 psnr_u:49.75 psnr_v:52.30
n:168 mse_avg:0.87 mse_y:1.04 mse_u:0.68 mse_v:0.38 psnr_avg:48.74 psnr_y:47.96 psnr_u:49.80 psnr_v:52.37
n:169 mse_avg:0.88 mse_y:1.06 mse_u:0.68 mse_v:0.38 psnr_avg:48.67 psnr_y:47.88 psnr_u:49.82 psnr_v:52.35
n:170 mse_avg:0.87 mse_y:1.05 mse_u:0.67 mse_v:0.38 psnr_avg:48.72 psnr_y:47.93 psnr_u:49.89 psnr_v:52.34
